,Title,URL,Year,Rating,Actors,Director
62,Mononoke-hime,http://www.imdb.com/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63,1997,8.4," Yôji Matsuda, Yuriko Ishida",Hayao Miyazaki 
63,American Beauty,http://www.imdb.com/title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64,1999,8.4," Kevin Spacey, Annette Bening",Sam Mendes 
64,The Dark Knight Rises,http://www.imdb.com/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65,2012,8.4," Christian Bale, Tom Hardy",Christopher Nolan 
65,Witness for the Prosecution,http://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66,1957,8.4," Tyrone Power, Marlene Dietrich",Billy Wilder 
66,Oldeuboi,http://www.imdb.com/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67,2003,8.4," Min-sik Choi, Ji-tae Yu",Chan-wook Park 
67,Aliens,http://www.imdb.com/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68,1986,8.4," Sigourney Weaver, Michael Biehn",James Cameron 
68,Once Upon a Time in America,http://www.imdb.com/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69,1984,8.4," Robert De Niro, James Woods",Sergio Leone 
69,Das Boot,http://www.imdb.com/title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70,1981,8.3," Jürgen Prochnow, Herbert Grönemeyer",Wolfgang Petersen 
70,Citizen Kane,http://www.imdb.com/title/tt0033467/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71,1941,8.3," Orson Welles, Joseph Cotten",Orson Welles 
71,North by Northwest,http://www.imdb.com/title/tt0053125/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72,1959,8.3," Cary Grant, Eva Marie Saint",Alfred Hitchcock 
72,Vertigo,http://www.imdb.com/title/tt0052357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_73,1958,8.3," James Stewart, Kim Novak",Alfred Hitchcock 
73,Braveheart,http://www.imdb.com/title/tt0112573/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_74,1995,8.3," Mel Gibson, Sophie Marceau",Mel Gibson 
74,Star Wars: Episode VI - Return of the Jedi,http://www.imdb.com/title/tt0086190/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_75,1983,8.3," Mark Hamill, Harrison Ford",Richard Marquand 
75,Dangal,http://www.imdb.com/title/tt5074352/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_76,2016,8.3," Aamir Khan, Sakshi Tanwar",Nitesh Tiwari 
76,Reservoir Dogs,http://www.imdb.com/title/tt0105236/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_77,1992,8.3," Harvey Keitel, Tim Roth",Quentin Tarantino 
77,M,http://www.imdb.com/title/tt0022100/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_78,1931,8.3," Peter Lorre, Ellen Widmann",Fritz Lang 
78,Kimi no na wa.,http://www.imdb.com/title/tt5311514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_79,2016,8.3," Ryûnosuke Kamiki, Mone Kamishiraishi",Makoto Shinkai 
79,Requiem for a Dream,http://www.imdb.com/title/tt0180093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_80,2000,8.3," Ellen Burstyn, Jared Leto",Darren Aronofsky 
80,Taare Zameen Par,http://www.imdb.com/title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_81,2007,8.3," Darsheel Safary, Aamir Khan",Aamir Khan 
81,Amélie,http://www.imdb.com/title/tt0211915/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_82,2001,8.3," Audrey Tautou, Mathieu Kassovitz",Jean-Pierre Jeunet 
82,Amadeus,http://www.imdb.com/title/tt0086879/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_83,1984,8.3," F. Murray Abraham, Tom Hulce",Milos Forman 
83,A Clockwork Orange,http://www.imdb.com/title/tt0066921/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_84,1971,8.3," Malcolm McDowell, Patrick Magee",Stanley Kubrick 
84,Lawrence of Arabia,http://www.imdb.com/title/tt0056172/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_85,1962,8.3," Peter O'Toole, Alec Guinness",David Lean 
85,Double Indemnity,http://www.imdb.com/title/tt0036775/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_86,1944,8.3," Fred MacMurray, Barbara Stanwyck",Billy Wilder 
86,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_87,2004,8.3," Jim Carrey, Kate Winslet",Michel Gondry 
87,Taxi Driver,http://www.imdb.com/title/tt0075314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_88,1976,8.3," Robert De Niro, Jodie Foster",Martin Scorsese 
88,To Kill a Mockingbird,http://www.imdb.com/title/tt0056592/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_89,1962,8.3," Gregory Peck, John Megna",Robert Mulligan 
89,Singin' in the Rain,http://www.imdb.com/title/tt0045152/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_90,1952,8.3," Gene Kelly, Donald O'Connor",Stanley Donen 
90,2001: A Space Odyssey,http://www.imdb.com/title/tt0062622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_91,1968,8.3," Keir Dullea, Gary Lockwood",Stanley Kubrick 
91,3 Idiots,http://www.imdb.com/title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_92,2009,8.3," Aamir Khan, Madhavan",Rajkumar Hirani 
92,Full Metal Jacket,http://www.imdb.com/title/tt0093058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_93,1987,8.3," Matthew Modine, R. Lee Ermey",Stanley Kubrick 
93,Toy Story,http://www.imdb.com/title/tt0114709/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_94,1995,8.3," Tom Hanks, Tim Allen",John Lasseter 
94,The Sting,http://www.imdb.com/title/tt0070735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_95,1973,8.3," Paul Newman, Robert Redford",George Roy Hill 
95,Inglourious Basterds,http://www.imdb.com/title/tt0361748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_96,2009,8.3," Brad Pitt, Diane Kruger",Quentin Tarantino 
96,Ladri di biciclette,http://www.imdb.com/title/tt0040522/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_97,1948,8.3," Lamberto Maggiorani, Enzo Staiola",Vittorio De Sica 
97,The Kid,http://www.imdb.com/title/tt0012349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_98,1921,8.3," Charles Chaplin, Edna Purviance",Charles Chaplin 
98,Toy Story 3,http://www.imdb.com/title/tt0435761/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_99,2010,8.3," Tom Hanks, Tim Allen",Lee Unkrich 
99,Snatch,http://www.imdb.com/title/tt0208092/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_100,2000,8.3," Jason Statham, Brad Pitt",Guy Ritchie 
100,Good Will Hunting,http://www.imdb.com/title/tt0119217/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_101,1997,8.3," Robin Williams, Matt Damon",Gus Van Sant 
101,Jagten,http://www.imdb.com/title/tt2106476/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_102,2012,8.3," Mads Mikkelsen, Thomas Bo Larsen",Thomas Vinterberg 
102,Monty Python and the Holy Grail,http://www.imdb.com/title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_103,1975,8.3," Graham Chapman, John Cleese",Terry Gilliam 
103,Per qualche dollaro in più,http://www.imdb.com/title/tt0059578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_104,1965,8.3," Clint Eastwood, Lee Van Cleef",Sergio Leone 
104,Scarface,http://www.imdb.com/title/tt0086250/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_105,1983,8.3," Al Pacino, Michelle Pfeiffer",Brian De Palma 
105,L.A. Confidential,http://www.imdb.com/title/tt0119488/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_106,1997,8.2," Kevin Spacey, Russell Crowe",Curtis Hanson 
106,The Apartment,http://www.imdb.com/title/tt0053604/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_107,1960,8.2," Jack Lemmon, Shirley MacLaine",Billy Wilder 
107,Metropolis,http://www.imdb.com/title/tt0017136/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_108,1927,8.2," Brigitte Helm, Alfred Abel",Fritz Lang 
108,Jodaeiye Nader az Simin,http://www.imdb.com/title/tt1832382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_109,2011,8.2," Payman Maadi, Leila Hatami",Asghar Farhadi 
109,Rashômon,http://www.imdb.com/title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_110,1950,8.2," Toshirô Mifune, Machiko Kyô",Akira Kurosawa 
110,Indiana Jones and the Last Crusade,http://www.imdb.com/title/tt0097576/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_111,1989,8.2," Harrison Ford, Sean Connery",Steven Spielberg 
111,Yôjinbô,http://www.imdb.com/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_112,1961,8.2," Toshirô Mifune, Eijirô Tôno",Akira Kurosawa 
112,Up,http://www.imdb.com/title/tt1049413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_113,2009,8.2," Edward Asner, Jordan Nagai",Pete Docter 
113,All About Eve,http://www.imdb.com/title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_114,1950,8.2," Bette Davis, Anne Baxter",Joseph L. Mankiewicz 
114,Batman Begins,http://www.imdb.com/title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_115,2005,8.2," Christian Bale, Michael Caine",Christopher Nolan 
115,Some Like It Hot,http://www.imdb.com/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_116,1959,8.2," Marilyn Monroe, Tony Curtis",Billy Wilder 
116,"Three Billboards Outside Ebbing, Missouri",http://www.imdb.com/title/tt5027774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_117,2017,8.2," Frances McDormand, Woody Harrelson",Martin McDonagh 
117,Babam ve Oglum,http://www.imdb.com/title/tt0476735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_118,2005,8.2," Resit Kurt, Fikret Kuskan",Çagan Irmak 
118,The Treasure of the Sierra Madre,http://www.imdb.com/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_119,1948,8.2," Humphrey Bogart, Walter Huston",John Huston 
119,Unforgiven,http://www.imdb.com/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_120,1992,8.2," Clint Eastwood, Gene Hackman",Clint Eastwood 
120,Der Untergang,http://www.imdb.com/title/tt0363163/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_121,2004,8.2," Bruno Ganz, Alexandra Maria Lara",Oliver Hirschbiegel 
121,Die Hard,http://www.imdb.com/title/tt0095016/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_122,1988,8.2," Bruce Willis, Alan Rickman",John McTiernan 
122,Heat,http://www.imdb.com/title/tt0113277/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_123,1995,8.2," Al Pacino, Robert De Niro",Michael Mann 
123,Raging Bull,http://www.imdb.com/title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_124,1980,8.2," Robert De Niro, Cathy Moriarty",Martin Scorsese 
124,Ikiru,http://www.imdb.com/title/tt0044741/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=0E90E63ZSE044HFQM0G4&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_125,1952,8.2," Takashi Shimura, Nobuo Kaneko",Akira Kurosawa 
